label,predict
0.6044094788360288,cS ¢ 7 ae
0.6583676074887898,ok A WARM
0.11012091554013628,A-A ALPHATON 17.05.2012
0.17625958013323131,i ALPHATON - Ziegelfassade
0.6679363258420243,i 2.7.36 Querformat- M ALPHATON 1:1 (V) - Ausfthrung Ziegelfassade
0.5011115729544539,ALPHATON - Ziegelfassade
0.40336680844732464,ALPHATON - Ziegelfassade
0.5832639584278013,i
0.5173881558437878,2.7.36 M 1:1 (V)
0.552489939162636,Querformat- Ausfthrung
0.7016039674967252,2.7.36 M 1:1
0.5678597280739873,ore sn
0.10388150382359054,KRALLENHALTER
0.4921523205266274,BANKPLATTE
0.3870608519277761,ar | 7 ae oD é
0.23475171557745114,D>. Ca m D>
0.25209288345330766,Ca m D>
0.16407497272237756,‘ TRENNELEMENT
0.1840910967296768,‘ TRENNELEMENT
0.23891575977428456,‘ tt me DHALTER TRENNELEMENT
0.11446997178557033,ALPHATON - EI A ‘ tt re me DHALTER TRENNELEMENT
0.1431882305521967,ALPHATON - EI ‘ tt me DHALTER TRENNELEMENT
0.20584441019324995,‘ TRENNELEMENT
0.07008867367579542,"Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum. Jede Verwendung, insbesondere die Weitergabe, Vervielfaltigung,"
0.050943167831377846,"Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum. Jede Verwendung, insbesondere die Weitergabe, Vervielfaltigung, Verdffentlichung und"
